id,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap,usr,workload_type,user_type,system_state,io_pressure,process_pressure,memory_pressure,cpu_pressure,read_write_ratio,swap_pressure,sys_activity_ratio
2746,2.683497305,0.761866363,2001.012833,150,83,1,1.6,44078800,7346600,2,133,1120213,82,io_heavy,student,medium,32382931208,1.6,0.014925373,665.3333333,1.5,8359.798507,24.04819277
1749,1.202297989,-0.339239571,437.2013698,50,38,0.2,0.2,4257500,1700700,1,465,1743290,98,mixed,admin,critical,724073025,0.04,0.002145923,172.5,1,3740.965665,3.484848485
7587,2.891073126,-0.582901438,1968.127616,136,86,0.6,1,8525200,1966400,1,129,1020147,92,mixed,admin,high,1676395328,0.6,0.007692308,974,4,7847.284615,20.94623656
7209,26.64442718,15.07578784,3387.597331,244,145,1.8,4.59,45475200,12478200,7.8,211,1313086,74,io_heavy,researcher,low,56744864064,8.262,0.036792453,387.1590909,1.75,6193.801887,45.42666667
8055,54.42593603,66.93499007,1676.328408,153,117,0.2,0.2,5668900,6882600,2.2,1976,1528355,92,mixed,admin,high,3901677114,0.04,0.001112797,523.75,0.820895522,773.0677795,18.02150538
4401,1.519991713,-0.491938657,2289.557425,159,130,0.2,0.2,872000,1205400,4.2,6679,1410040,95,mixed,admin,critical,105110880,0.04,0.000628743,434.4230769,1,211.0838323,23.53125
4138,0.36062636,-0.042796398,892.599886,66,78,0.2,0.2,2211700,10821400,2.2,4101,1776888,88,mixed,admin,medium,2393369038,0.04,0.000536324,283.125,0,433.1760117,10.17977528
5394,23.15935917,4.311457957,3752.63144,296,176,5.6,9.8,50574700,4686500,1.3,154,1005171,68,io_heavy,researcher,low,23701833155,54.88,0.008387097,1638.695652,4.6,6484.974194,54.62318841
5088,12.53889587,12.01295233,2466.397774,297,168,0.8,1.4,119611600,103635200,1.4,306,1014872,87,io_heavy,student,medium,1.2396E+12,1.12,0.004560261,1032.916667,0.923076923,3305.771987,28.17045455
6066,0.70875941,0.734576043,1496.067809,185,143,0.8,1,2453900,4474500,1,687,1120960,90,mixed,admin,high,1097997555,0.8,0.001453488,761,1,1629.302326,16.72527473
6616,27.99817087,9.625135932,4655.457618,126,98,2.2,5.79,4127900,601600,4,629,1538887,78,cpu_heavy,researcher,low,248334464,12.738,0.006349206,923,2.545454545,2442.677778,58.41772152
4624,2.823565161,-0.367323591,936.7433761,126,53,1.6,2.2,36113800,13835400,2.2,7329,1876546,89,io_heavy,student,medium,49964886852,3.52,0.000300136,302.1875,2,256.0090041,10.74444444
3683,6.19068084,0.786915565,3864.700308,433,228,0.97,2.7,11932500,11740000,2.8,608,1486673,87,mixed,admin,medium,14008755000,2.619,0.004597701,1011.578947,3,2441.170772,43.68181818
4968,98.19431937,0.688855212,827.7222965,135,47,0.8,1,84512100,3564600,,356,1700874,92,io_heavy,student,high,30125183166,0.8,0.011764706,170.5769231,97,4764.352941,9.537634409
2527,1.44827274,1.893249599,1194.459094,143,90,0.2,0.2,3549900,5449900,2.5,277,1068827,90,mixed,admin,high,1934660001,0.04,0.008992806,333.1428571,0.5,3844.701439,12.81318681
5381,0.374250481,0.047350245,1912.600902,118,80,0.4,0.2,13608200,1032500,1,705,1731995,93,mixed,admin,high,1405046650,0.08,0.001416431,969.5,1,2453.250708,20.62765957
5424,28.90281514,2.081380005,4604.759292,526,491,11.58,7.78,34219500,26649400,2,1309,1032302,65,io_heavy,researcher,low,91192914330,90.0924,0.001526718,1528.666667,9.666666667,788.0167939,69.48484848
2052,-0.925293824,0.308279724,154.0449254,21,23,0.2,0.2,45700,333200,1,7436,1870405,98,mixed,admin,critical,1522724,0.04,0.000134463,90.5,0,251.4999328,1.828282828
5670,9.423357437,4.921536317,1879.04028,145,78,1,1,17023600,3112700,2.7,110,1021736,89,mixed,admin,medium,5298935972,1,0.024324324,509.4594595,1.6,9204.828829,20.94444444
7649,5.935881649,2.030535178,3522.118765,495,107,1.2,1.6,27123300,30210700,2.4,567,1547306,80,io_heavy,student,low,81941387931,1.92,0.004225352,1033.235294,2.333333333,2724.130282,43.37037037
2377,291.6160995,180.7133234,4614.716847,252,184,1.8,2,27811300,2055500,4.2,366,1451837,75,mixed,admin,low,5716612715,3.6,0.011444142,885.3846154,1.604395604,3955.959128,60.57894737
2190,0.628031056,0.567876472,3407.261846,148,107,0.2,0.2,855500,1608500,,217,1022944,91,mixed,admin,high,137607175,0.04,0.025688073,514.8484848,0,4692.40367,36.93478261
1421,31.57440282,41.70153254,3096.498041,138,129,0.8,1,1127800,2813100,,283,1020074,91,mixed,admin,high,317261418,0.8,0.003521127,1559,0.720930233,3591.809859,33.89130435
363,2.883944658,0.563721254,3511.903899,132,137,0.6,0.6,971500,2677600,5.2,370,1021517,83,mixed,admin,medium,260128840,0.36,0.014016173,560.1612903,3,2753.415094,41.3452381
8120,19.01125308,23.9406206,154.2905006,10,23,0.2,0.2,206400,828000,1.2,7382,1874901,98,mixed,admin,critical,17089920,0.04,0.000162536,81.36363636,0.730769231,253.948395,1.808080808
1958,4.348216088,-0.235069132,2122.862734,84,76,0.4,0.4,2700000,2309300,2.2,741,1717045,95,mixed,admin,critical,623511000,0.16,0.00296496,665.3125,1,2314.076819,22.17708333
3698,5.354917485,-0.427250877,3035.015168,371,292,0.8,2,13777200,12568000,1.3,131,980881,82,mixed,admin,medium,17315184960,1.6,0.009848485,1327.826087,5,7430.916667,36.79518072
1357,28.41711567,23.62483493,5073.070429,329,198,3.81,5.21,17891800,9326600,2.2,271,1125319,77,cpu_heavy,researcher,low,16686966188,19.8501,0.008088235,1564.6875,1.16,4137.202206,64.19230769
7864,1.314108762,-0.318467097,989.3075046,119,88,1.6,2.2,22990900,4448500,2.6,458,1053327,90,mixed,admin,high,10227501865,3.52,0.005664488,271.3888889,2,2294.830065,10.73626374
2906,3.800925,0.111238131,1214.320509,181,60,2.4,2.4,4271300,3784200,2.6,271,1754974,92,mixed,researcher,high,1616345346,5.76,0.009558824,331.9444444,3,6452.110294,12.84946237
3804,7.170158611,0.293841731,3245.733699,157,111,6.41,18.04,17083600,6790900,2.2,219,1078485,71,cpu_heavy,researcher,low,11601301924,115.6364,0.01,1006.25,3.5,4902.204545,44.72222222
7945,40.43917189,22.66541941,5024.423411,469,356,2.2,2.99,17402500,44093500,1.4,133,991666,64,io_heavy,researcher,low,76733713375,6.578,0.010447761,2090,1.666666667,7400.492537,77.16923077
7351,11.02311645,5.059080425,4072.761934,530,466,6,1.8,26920600,11345300,1,1028,999211,74,cpu_heavy,researcher,low,30542228318,10.8,0.000971817,2019,2,971.0505345,53.84
3111,71.76028837,82.56786441,4372.995303,540,461,8.42,2.4,27294800,4312900,430,68,32,0,cpu_heavy,researcher,low,11771974292,20.208,6.231884058,10.22041763,0.869047619,0.463768116,4405
6140,2.01991415,-0.135099568,465.9130092,86,64,0.8,1,12974900,3476400,2.6,966,1717426,95,mixed,admin,critical,4510594236,0.8,0.002688728,135.8333333,1,1776.03516,5.09375
2849,0.351350911,-0.302557647,185.8980984,29,21,0.2,0.2,7516600,1022500,,,1775840,97,mixed,admin,critical,768572350,0.04,0.00042061,96.36363636,1,622.4465475,2.163265306
5136,2.053596771,0.764554879,2424.922455,370,201,1.2,1,26552300,9442200,1,234,1113288,86,mixed,student,medium,25071212706,1.2,0.004255319,1225,2,4737.395745,28.16091954
6669,17.41162452,-0.349430349,3878.894846,414,329,5.39,2,33314600,2430000,2.6,170,1060878,76,cpu_heavy,researcher,low,8095447800,10.78,0.015204678,1072.5,17,6203.964912,50.14285714
743,0.333271105,0.374768746,3577.10027,339,304,0.6,2.2,2892900,3659100,1,271,1101937,88,mixed,admin,medium,1058541039,1.32,0.003676471,1783.5,1,4051.238971,40.07865169
251,8.65454102,8.858589788,1570.48789,137,95,0.6,0.6,3046300,3616400,2,676,980412,90,mixed,admin,high,1101663932,0.36,0.00295421,516,1,1448.171344,17.01098901
2241,4.112997427,3.188630505,1350.515962,150,107,0.4,0.6,4434300,6146400,1.5,139,1008875,92,mixed,admin,high,2725498152,0.24,0.010714286,542.8,1,7206.25,14.59139785
1564,52.94334361,70.62576099,1684.920055,125,106,0.2,0.2,604600,2671100,1.8,536,977066,95,mixed,admin,critical,161494706,0.04,0.003351955,606.7857143,0.732394366,1819.489758,17.69791667
5630,19.39141845,7.001450498,1812.526712,167,77,3,4.2,12191600,3807900,1,353,976608,88,cpu_heavy,researcher,medium,4642439364,12.6,0.002824859,891,2.714285714,2758.779661,20.02247191
3414,13.11212737,5.355687476,1804.632632,259,144,0.2,0.2,11674300,2677600,3.2,275,1045414,88,mixed,admin,medium,3125910568,0.04,0.011594203,431.9047619,2,3787.731884,20.38202247
3284,3.935244766,2.851255933,1007.945577,120,59,0.8,3.19,15455100,2495300,2.6,190,993039,89,mixed,admin,medium,3856511103,2.552,0.013612565,288.8888889,1,5199.157068,11.55555556
2152,2.772914903,-0.578780692,1691.055365,99,69,0.2,0.2,61219400,1757900,4.4,285,1329640,85,io_heavy,student,medium,10761758326,0.04,0.015384615,310.7407407,1,4649.090909,19.51162791
6864,41.27397261,35.26050665,3254.703039,527,470,9.78,2.79,25595000,1367200,2.6,7304,1859067,73,cpu_heavy,researcher,low,3499348400,27.2862,0.000355921,906.9444444,1.108108108,254.4924025,44.12162162
6952,27.24972485,18.18608299,10306.62199,4449,4590,1.2,1.6,3628900,3699000,3.4,168,974222,75,mixed,admin,low,1342330110,1.92,0.020118343,2347.954545,1.368421053,5764.627219,135.9342105
1688,16.21465264,4.023917999,5004.789662,259,249,2.8,1.4,7353700,23754700,4.8,2114,988600,79,mixed,admin,low,17468493739,3.92,0.002269504,865,4,467.4231678,62.7125
1846,0.903392543,0.812920262,533.6482253,23,24,0.6,2.2,1801900,964300,1.8,6236,1832586,88,mixed,admin,medium,173757217,1.32,0.0002886,182.1428571,1,293.8249158,5.730337079
112,3.97170768,2.083012929,2400.336733,581,170,2.2,3.79,102914300,27859200,1.3,163,1111235,80,io_heavy,researcher,low,2.86711E+11,8.338,0.007926829,1052.608696,1.333333333,6775.823171,29.88888889
2397,26.01630554,41.23836428,2544.230062,172,176,0.2,0.2,5353000,27101000,1.3,233,997657,87,mixed,admin,medium,14507165300,0.04,0.005555556,1109.565217,0.642857143,4263.491453,29
4596,21.16869321,8.783791843,3165.828452,198,113,1.2,1.2,27444000,10334400,3.6,416,1010256,82,mixed,student,medium,28361727360,1.44,0.008633094,698.6956522,1.909090909,2422.676259,38.72289157
2006,2.227600592,0.616031873,2804.392265,145,91,0.8,0.8,4278900,2186500,1.6,1967,1753906,91,mixed,admin,high,935581485,0.64,0.000813008,1076.538462,2,891.2123984,30.42391304
4199,14.79062778,0.734482797,3282.650696,276,129,4.19,4.59,10992300,4313400,3,1168,1108353,78,cpu_heavy,researcher,low,4741418682,19.2321,0.002566296,826.25,18,948.1206159,41.83544304
7305,39.48685287,57.16220085,2156.790904,257,161,0.4,0.6,18550400,4676900,3.2,986,1058147,90,mixed,admin,high,8675836576,0.24,0.003242148,516.1904762,0.684210526,1072.084093,23.82417582
6195,-1.894563707,-0.507182798,687.2341208,59,62,0.2,0.2,269200,2048000,1.8,786,1014446,96,mixed,admin,critical,55132160,0.04,0.002287166,244.2857143,1,1289.003812,7.051546392
3441,6.155282175,1.450452954,891.7357546,109,81,0.8,0.8,15542500,3317900,1,160,1092378,93,mixed,admin,high,5156846075,0.64,0.00621118,460.5,6,6784.956522,9.79787234
4952,2.337187936,0.0089878,1448.745646,118,45,0.2,0.2,46655900,721400,1,1059,1746774,95,io_heavy,student,critical,3365756626,0.04,0.000943396,746.5,1,1647.9,15.55208333
5682,2.635250147,1.876034966,2750.114277,250,187,0.4,1.8,10698300,7850300,1,341,1031469,90,mixed,admin,high,8398486449,0.72,0.002923977,1358.5,1,3015.991228,29.85714286
320,23.86112747,19.34950778,1078.655032,67,56,3.79,4.19,7292000,3499200,3.2,635,1019530,84,cpu_heavy,researcher,medium,2551616640,15.8801,0.005031447,252.1428571,1.2,1603.034591,12.45882353
7361,0.189371171,-1.707580031,3507.946162,139,128,0.2,0.2,2390100,4525400,2.3,2491,1046205,91,mixed,admin,high,1081615854,0.04,0.000922953,1073.636364,1,419.8254414,38.51086957
6746,9.015954371,1.998737565,4149.961216,392,307,6,2.8,25098000,7384300,1,1050,1058078,78,cpu_heavy,researcher,low,18533116140,16.8,0.000951475,2066.5,3.333333333,1006.734539,52.3164557
6013,1.212999483,0.821505826,3387.133797,193,212,0.6,0.8,3289800,53053200,4,168,1008651,86,io_heavy,student,medium,17453441736,0.48,0.023668639,680.4,1,5968.349112,39.10344828
680,23.3568459,18.04892937,4383.949704,351,216,4,5,30106100,6844900,2,1063,1008304,72,cpu_heavy,researcher,low,20607324389,20,0.001879699,1472.666667,1.157894737,947.6541353,60.52054795
4865,10.9190394,-0.223027348,2066.847593,134,90,5.8,14.6,104096000,4067200,2.4,395,1084862,72,io_heavy,researcher,low,42337925120,84.68,0.006060606,621.4705882,11,2739.550505,28.94520548
6571,10.85807552,0.708131858,4038.974604,131,92,2,1.8,22953100,7462300,3.4,1084,1516277,81,mixed,admin,low,17128291813,3.6,0.003133641,921.1363636,3.666666667,1397.490323,49.42682927
1457,10.80387275,1.188301057,4535.592793,310,281,5.6,1.8,21508900,10650900,3.8,213,1512869,75,cpu_heavy,researcher,low,22908914301,10.08,0.017757009,943.5416667,5,7069.481308,59.59210526
5057,4.756933029,1.773450293,2306.498838,105,87,0.4,0.6,3712700,5571600,2.4,974,1519320,83,mixed,admin,medium,2068567932,0.24,0.002461538,684.4117647,2,1558.276923,27.70238095
7274,22.75904704,19.91646731,3759.664029,298,174,3.01,4.61,13801000,6288700,1.8,734,1022807,79,cpu_heavy,researcher,low,8679034870,13.8761,0.00244898,1341.071429,1.15,1391.57415,46.9375
6837,14.9903432,5.871762962,1628.691345,232,206,5.6,6.8,33221600,5167300,1,258,982355,82,io_heavy,researcher,medium,17166597368,38.08,0.003861004,797,2,3792.876448,19.20481928
1706,39.74255975,25.83842305,1215.222122,88,104,1.8,1.8,11086400,6984000,3.2,193,1535515,91,mixed,admin,high,7742741760,3.24,0.016494845,287.3809524,1.481481481,7915.025773,13.11956522
853,0.319859507,0.819737173,420.2912146,48,35,0.4,0.4,16064400,6005100,1,8717,1834907,95,mixed,admin,critical,9646832844,0.16,0.000114705,235,0.5,210.4733884,4.895833333
4664,1.497070316,-0.083060832,2430.924552,136,80,0.4,1.8,8172600,3919100,1.2,527,1743094,94,mixed,admin,high,3202923666,0.72,0.002272727,1109.545455,1,3301.314394,25.69473684
474,3.458558697,0.513916956,2294.793768,207,92,1.2,1.6,8487000,5271200,2,280,1056816,90,mixed,admin,high,4473667440,1.92,0.007117438,759,2,3760.911032,25.02197802
6314,2.648611824,0.807490129,194.8403715,44,28,0.2,0.2,1030400,769500,1.2,7102,1847088,98,mixed,admin,critical,79289280,0.04,0.000168943,97.27272727,1,260.043362,2.161616162
1875,2.398198988,-0.165202778,2130.835141,78,80,0.6,3,6695500,3208300,2,263,1752520,94,mixed,admin,high,2148117265,1.8,0.007575758,700,1,6638.333333,22.10526316
406,17.6646282,14.62660038,1101.91202,429,142,0.4,0.4,81821900,59020200,480,93,7,0,idle_light,student,low,4.82914E+11,0.16,5.106382979,2.345114345,1.133333333,0.074468085,1128
3034,32.95181763,-0.654402657,3041.810177,162,85,7.41,23.25,4732500,2214400,3.4,193,1113364,72,cpu_heavy,researcher,low,1047964800,172.2825,0.017525773,695.4545455,17,5738.989691,41.91780822
3161,0.352814803,0.929203692,1470.442837,75,46,0.6,0.6,1110600,7284500,2,4818,1731490,95,mixed,admin,critical,809016570,0.36,0.000415024,482,1,359.304835,15.0625
3420,-0.56786429,1.555852298,3080.382567,154,97,0.4,1.8,4061800,2326300,1,,1027330,90,mixed,admin,high,944896534,0.72,0.005434783,1541,0,5583.315217,33.86813187
6526,2.30203923,0.828001283,1420.112159,135,111,0.4,0.4,1286400,5484400,1,699,1062579,95,mixed,admin,critical,705513216,0.16,0.001428571,696.5,1,1517.97,14.51041667
1356,6.23516101,5.445998869,1951.256874,291,228,4,1.2,23928800,6563700,2,885,1008509,85,mixed,researcher,medium,15706146456,4.8,0.002257336,659.3333333,1.5,1138.272009,23
740,17.08240993,5.105674487,2612.374141,172,101,2.6,5.4,36752300,6836200,3.6,852,1545477,92,io_heavy,researcher,high,25124607326,14.04,0.004220399,564.3478261,2.666666667,1811.813599,27.91397849
4102,1.1689217,0.957726504,1877.430569,58,47,1.4,4.2,4868500,660300,1.6,4586,1828430,90,cpu_heavy,researcher,high,321467055,5.88,0.000348812,725.7692308,2,398.6112928,20.73626374
1317,19.8634428,5.758652153,5501.043351,368,364,2,7.98,16151100,1116800,4.6,1527,1638571,81,cpu_heavy,researcher,low,1803754848,15.96,0.003010471,983.3928571,3,1072.36322,67.15853659
3618,18.69678492,25.51986047,206.2568466,15,18,0.2,0.2,745700,459500,1.2,7548,1870232,97,mixed,admin,critical,34264915,0.04,0.000158961,89.54545455,0.730769231,247.7456617,2.010204082
4538,3.67630243,0.243844175,1546.979569,255,166,0.4,0.4,1010300,2824800,1.2,541,976770,93,mixed,admin,high,285389544,0.16,0.002214022,693.1818182,4,1802.158672,16.22340426
906,11.04955133,9.264946768,2918.567062,141,102,0.2,0.2,9491000,2200500,1,329,976061,92,mixed,admin,high,2088494550,0.04,0.003030303,1480.5,1,2957.760606,31.83870968
5249,37.87433353,24.76098966,5111.347819,558,444,10.4,7,39915300,6255200,2,405,1008416,61,io_heavy,researcher,low,24967818456,72.8,0.004926108,1715.666667,1.48,2483.783251,83.01612903
4438,3.709174075,1.142966005,1591.18011,165,108,1.2,1.8,3461600,5581800,2.6,879,1540005,93,mixed,admin,high,1932195888,2.16,0.002954545,441.3888889,1.333333333,1750.005682,16.90425532
4746,-0.304217233,0.431032202,1397.400134,66,65,0.2,0.2,953600,2288400,,181,1085774,95,mixed,admin,critical,218221824,0.04,0.012087912,443.125,0,5965.791209,14.77083333
6418,9.574875189,4.903730545,2244.526233,142,110,0.4,0.4,17483100,17047100,5,360,1314491,93,mixed,student,high,29803615401,0.16,0.013850416,374.5,1.6,3641.249307,23.90425532
7486,3.330494406,2.426728058,2806.09273,324,177,1.2,2.81,3128000,2671700,2.6,138,1060800,90,mixed,admin,high,835707760,3.372,0.018705036,779.7222222,1,7631.654676,30.84615385
6236,2.034390697,-0.483208013,2132.404581,77,54,0.2,0.2,509700,4664900,2,,1631770,96,mixed,admin,critical,237769953,0.04,0.002574003,706,1,2100.09009,21.83505155
7458,33.81044425,43.14096165,2856.555316,155,109,3.01,3.21,10546100,3698400,2,194,1005643,88,cpu_heavy,researcher,medium,3900369624,9.6621,0.01025641,943,0.75,5157.14359,31.78651685
69,9.385893115,0.689940303,3331.026779,383,177,6.2,19.2,3484400,2886500,1.5,188,1103072,76,cpu_heavy,researcher,low,1005772060,119.04,0.007936508,1330.4,4.5,5836.359788,43.19480519
6463,-0.179589339,-1.943161543,261.0837727,55,47,0.2,0.2,104900,878400,,188,1755512,98,mixed,admin,critical,9214416,0.04,0.005291005,140.5,0,9288.42328,2.838383838
7858,0.054601912,-0.907482376,3269.241083,274,157,0.2,0.2,1504300,7297000,2.4,936,1643090,95,mixed,admin,critical,1097687710,0.04,0.002561366,956.4705882,1,1753.564568,33.875
7066,2.997849651,2.638401581,3159.184303,188,191,1,1.2,12552800,44455800,2.4,360,1378723,83,io_heavy,student,medium,55804476624,1.2,0.006648199,918.2352941,1.333333333,3819.177285,37.16666667
3060,1.577778617,-0.061928419,2649.96744,292,215,0.4,0.4,12969400,9619700,2,413,1069749,93,mixed,admin,high,12476173718,0.16,0.004830918,874,2,2583.934783,27.89361702
8090,0.444086973,0.681477827,4844.006562,175,168,0.6,0.8,1303700,34606900,2,1024,1378904,90,mixed,student,high,4511701553,0.48,0.00195122,1598.333333,0.5,1345.272195,52.69230769
6753,11.71770943,3.975320929,4092.226694,510,129,4.6,7.2,44007900,3641200,3.6,718,1012301,77,io_heavy,researcher,low,16024156548,33.12,0.005006954,885.6521739,2.4,1407.929068,52.23076923
7846,2.563490932,0.030918737,3439.834145,189,237,0.8,1,28092400,52870900,2.4,132,998563,80,io_heavy,student,low,1.48527E+11,0.8,0.018045113,1023.529412,1,7507.992481,42.96296296
882,-0.566477315,0.890855645,486.5120185,170,40,0.2,0.2,21314600,20090800,3.4,972,1744448,96,io_heavy,student,critical,42822736568,0.04,0.003494347,102.2727273,0,1792.855087,4.639175258
3934,4.811881188,0.636630214,1104.049512,229,68,0.6,0.6,10584700,1752900,305,91,9,0,idle_light,admin,low,1855392063,0.36,3.315217391,3.480392157,2,0.097826087,1065
4299,-0.050701468,1.418840111,189.7363012,16,26,0.2,0.2,1018000,2547300,1.2,,1867488,98,mixed,admin,critical,259315140,0.04,0.000130067,82.27272727,0.5,202.4157815,1.828282828
4629,1.169589869,0.855853261,477.2351382,105,41,0.2,0.2,13325900,13279000,3.2,749,1741819,97,mixed,admin,critical,17695462610,0.04,0.004266667,120.952381,0,2322.425333,5.183673469
1748,260.5347056,-0.142557012,983.5125063,79,60,1.34,4.41,35430700,2335400,1.2,162,952564,85,cpu_heavy,researcher,medium,8274485678,5.9094,0.007361963,451.3636364,130,5843.95092,11.54651163
3010,86.4972742,83.13204308,5542.944804,390,332,4.4,11.4,24547600,15351000,5.8,2591,1559867,66,io_heavy,researcher,low,37683020760,50.16,0.002237654,806.4705882,1.023529412,601.8005401,81.85074627
1233,6.905796347,4.519397635,1620.164306,112,77,0.4,0.4,10399700,5985600,212,89,11,0,idle_light,admin,low,6224844432,0.16,2.355555556,7.577464789,1.4,0.122222222,1614
3855,22.60997739,13.39162825,2784.783529,146,118,1.4,1.4,16771200,5486500,2.8,8013,1385042,89,mixed,admin,medium,9201518880,1.96,0.000349389,727.8947368,1.642857143,172.8278013,30.73333333
5639,6.637451324,1.29826825,3864.524262,412,362,0.2,0.2,31132900,19048100,3.2,224,1046589,84,io_heavy,student,medium,59302259249,0.04,0.014222222,932.6190476,3.5,4651.506667,46.08235294
7472,14.67352338,23.06968697,599.5491543,21,27,0.2,0.2,127400,651200,1.2,6306,1861603,97,mixed,admin,critical,8296288,0.04,0.000190265,246.3636364,0.625,295.164579,5.530612245
5005,0.78198431,0.804610532,324.0495853,90,49,0.2,0.2,12076200,11882700,,,1751693,96,mixed,admin,critical,14349786174,0.04,0.002417405,85.25,0,1411.517325,3.515463918
5017,62.75407236,83.08488619,2197.953656,220,133,0.4,0.4,24647200,8079700,1,1310,1086976,82,mixed,admin,medium,19914198184,0.16,0.000762777,1097,0.773809524,829.1197559,26.43373494
5511,7.144656465,-0.555230626,1793.555315,103,62,6.4,24.6,26923300,2033900,1.3,238,1088765,77,cpu_heavy,researcher,low,5475929987,157.44,0.005439331,802.6086957,7,4555.502092,23.66666667
6979,2.664911196,-0.084644053,2105.107844,245,145,0.4,0.6,3866600,4850700,2,,1126938,90,mixed,admin,high,1875571662,0.24,0.009852217,695,1,5551.418719,22.91208791
1195,27.30015465,37.52429252,293.2351228,24,18,0.6,0.8,4947700,845400,2.2,3435,1819314,96,mixed,admin,critical,418278558,0.48,0.000640279,102.5,0.743589744,529.4860303,3.381443299
923,9.141888745,0.008541388,3313.220157,291,220,2.4,1.6,20213800,6721900,1.3,204,1089602,86,mixed,admin,medium,13587514222,3.84,0.006341463,1448.695652,9,5315.131707,38.29885057
7477,-0.39621077,0.713902981,2090.377753,471,366,1.4,1.8,42266200,13132100,2.8,292,1696270,84,io_heavy,student,medium,55504396502,2.52,0.009556314,560.5263158,2,5789.317406,25.05882353
7170,36.04114129,48.04153642,4638.900351,858,472,1.6,3.2,22669000,7925800,4.4,1105,1542547,76,mixed,researcher,low,17966996020,5.12,0.0039783,858.7037037,0.734693878,1394.707957,60.22077922
3993,24.89200445,5.3070008,6773.90362,1208,535,9,5.4,62327200,21354000,233,62,38,0,io_heavy,researcher,low,1.33094E+11,48.6,3.698412698,28.96153846,4.5,0.603174603,6777
4120,84.89044743,106.2636664,2765.863494,294,132,2.2,3.2,81318000,5560500,1.8,822,1050037,84,io_heavy,researcher,medium,45216873900,7.04,0.00218712,987.5,0.803738318,1275.865128,32.52941176
7746,1.13578573,2.2397665,3090.591485,225,236,0.2,0.2,8290900,49861100,1.6,659,1031766,87,io_heavy,student,medium,41339339399,0.04,0.002424242,1181.538462,0.666666667,1563.281818,34.90909091
7220,18.14413596,13.4585691,394.8163428,55,41,0.4,0.4,2503700,3482800,,,1711805,97,mixed,admin,critical,871988636,0.16,0.002967359,129.3333333,1.428571429,2539.77003,3.959183673
1026,1.465590507,1.160848987,1342.545869,153,79,0.2,0.2,7525800,1954000,2.2,422,988357,93,mixed,admin,high,1470541320,0.04,0.005200946,419.375,0.5,2336.541371,14.27659574
